dataset/uri,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-a9nmc4zp/export.nq.gz
dataset/bbc-music,BBC Backstage License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-aakxlbr6/export.nq.gz
dataset/southampton-postcodes,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-awemrr6m/export.nq.gz
dataset/brandweer-amsterdam-amstelland-dispatch-messages,Open Government License for Public Sector Information,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-az5fjime/export.nq.gz
dataset/games,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-b1v7sfmx/export.nq.gz
dataset/dev8d-2012,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-b6rfvi2p/export.nq.gz
dataset/ordnance-survey-towns-latitude-longitude,Open Government License for Public Sector Information,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-b9shmhpy/export.nq.gz
dataset/chemicalcontent,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-bksuhamp/export.nq.gz
dataset/mot-testing-stations,Open Government License for Public Sector Information,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-bz0vxwbe/export.nq.gz
dataset/brighton-footprints,Open Government License for Public Sector Information,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-c2j50o8x/export.nq.gz
dataset/ordnance-survey-traffic-scotland-linkset,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-c3f3lnkb/export.nq.gz
dataset/nhs-organization,Open Government License for Public Sector Information,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-cdkgyrb1/export.nq.gz
dataset/ordnance-survey-our-airports-linkset,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-d2suqofi/export.nq.gz
dataset/adelaide-metro,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-d4oqhf92/export.nq.gz
dataset/latc-linksets,Open Database License (ODbL),https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-d5yd0aup/export.nq.gz
